Meﬂstellenbeschreibung:GWM3224
Logger Seriennummer   :080041820169
Logging Methode: Augenblickswerte
Messintervall: 01 min Speicherintervall: 00:01:00 Messungen: 1
Datum	Zeit	  1.Temp.PT1000   [∞C]	  2.Druck       [mBar]	
04.06.25	11:00:00	   23,1978	   992,674	
04.06.25	11:01:00	   22,9286	   992,407	
04.06.25	11:02:00	   15,7473	   1319,02	
04.06.25	11:03:00	   13,3773	   1328,72	
04.06.25	11:04:00	   12,8425	   1333,75	
04.06.25	11:05:00	   12,5586	   1333,56	
04.06.25	11:06:00	   12,4908	   1333,45	
04.06.25	11:07:00	   12,4707	   1333,26	
04.06.25	11:08:00	   12,4615	   1333,18	
04.06.25	11:09:00	   12,4597	   1332,95	
04.06.25	11:10:00	   12,4615	   1316,05	
04.06.25	11:11:00	   12,4597	   1306,62	
04.06.25	11:12:00	   12,4542	   1296,74	
04.06.25	11:13:00	   12,4396	   1287,13	
04.06.25	11:14:00	   12,4359	   1279,19	
04.06.25	11:15:00	   12,4139	   1272,17	
04.06.25	11:16:00	   12,3993	   1266,52	
04.06.25	11:17:00	   12,3773	   1260,61	
04.06.25	11:18:00	   12,3663	   1247,83	
04.06.25	11:19:00	   12,3663	   1236,34	
04.06.25	11:20:00	   12,3663	   1227,34	
04.06.25	11:21:00	   12,3663	    1219,7	
04.06.25	11:22:00	   12,3608	   1213,75	
04.06.25	11:23:00	    12,337	    1209,4	
04.06.25	11:24:00	   12,3297	   1204,63	
04.06.25	11:25:00	    12,315	   1200,09	
04.06.25	11:26:00	   12,3059	   1196,12	
04.06.25	11:27:00	   12,3132	   1192,27	
04.06.25	11:28:00	   12,3132	    1188,8	
04.06.25	11:29:00	   12,3132	   1185,82	
04.06.25	11:30:00	   12,3095	   1182,77	
04.06.25	11:31:00	   12,3095	   1179,98	
04.06.25	11:32:00	   12,3187	   1177,24	
04.06.25	11:33:00	    12,315	   1174,64	
04.06.25	11:34:00	    12,315	   1172,66	
04.06.25	11:35:00	   12,3205	   1170,29	
04.06.25	11:36:00	   12,3407	   1167,81	
04.06.25	11:37:00	    12,337	   1165,75	
04.06.25	11:38:00	   12,3407	   1163,77	
04.06.25	11:39:00	   12,3462	   1161,97	
04.06.25	11:40:00	   12,3498	   1160,29	
04.06.25	11:41:00	   12,3681	   1158,69	
04.06.25	11:42:00	   12,3736	   1157,32	
04.06.25	11:43:00	   12,3736	   1156,02	
04.06.25	11:44:00	   12,3773	   1154,95	
04.06.25	11:45:00	   12,3938	   1153,85	
04.06.25	11:46:00	   12,3993	   1152,78	
04.06.25	11:47:00	   12,3919	   1151,67	
04.06.25	11:48:00	   12,3938	   1150,68	
04.06.25	11:49:00	   12,4139	   1149,61	
04.06.25	11:50:00	   12,3938	    1148,7	
04.06.25	11:51:00	   12,3883	    1147,7	
04.06.25	11:52:00	   12,3993	   1146,75	
04.06.25	11:53:00	   12,4341	   1146,33	
04.06.25	11:54:00	   12,4707	   1147,13	
04.06.25	11:55:00	   12,4615	   1146,33	
04.06.25	11:56:00	   12,4615	   1145,95	
04.06.25	11:57:00	   12,4817	   1145,45	
04.06.25	11:58:00	   12,4817	   1144,96	
04.06.25	11:59:00	   12,4615	   1144,65	
04.06.25	12:00:00	   12,5073	   1144,27	
04.06.25	12:01:00	   12,4817	   1144,15	
04.06.25	12:02:00	   12,4652	   1143,77	
04.06.25	12:03:00	   12,4707	   1143,35	
04.06.25	12:04:00	   12,4908	   1143,35	
04.06.25	12:05:00	   12,4908	   1142,86	
04.06.25	12:06:00	   12,4982	   1142,59	
04.06.25	12:07:00	   12,5403	   1141,98	
04.06.25	12:08:00	   12,5531	   1141,48	
04.06.25	12:09:00	   12,5659	    1141,1	
